omega_entropy	h_total
-0.0	1
-0.0	1
-0.0	4
-0.0	4
2.584962500721156	2
2.584962500721156	3
2.584962500721156	1
2.584962500721156	1
-0.0	1
-0.0	1
1.0	1
1.0	2
-0.0	2
-0.0	1
2.584962500721156	11
2.584962500721156	11
1.584962500721156	4
1.584962500721156	4
1.0	5
1.0	12
2.584962500721156	0
2.584962500721156	0
-0.0	0
-0.0	2
2.584962500721156	1
2.584962500721156	1
-0.0	2
-0.0	0
-0.0	4
-0.0	4
-0.0	0
-0.0	0
0.9182958340544896	8
0.9182958340544896	11
2.584962500721156	1
2.584962500721156	2
1.0	1
1.0	3
-0.0	3
-0.0	2
2.584962500721156	0
2.584962500721156	0
2.584962500721156	0
2.584962500721156	0
2.584962500721156	0
2.584962500721156	0
-0.0	0
-0.0	2
2.584962500721156	0
2.584962500721156	0
2.584962500721156	1
2.584962500721156	0
-0.0	3
-0.0	3
-0.0	1
-0.0	0
-0.0	3
-0.0	1
-0.0	0
-0.0	2
1.0	6
1.0	7
1.0	12
1.0	11
2.584962500721156	1
2.584962500721156	1
2.584962500721156	1
2.584962500721156	0
-0.0	8
-0.0	8
1.5	4
1.5	5
-0.0	0
-0.0	1
-0.0	4
-0.0	4
1.5	21
1.5	32
0.9182958340544896	7
0.9182958340544896	7
-0.0	3
-0.0	6
-0.0	3
-0.0	0
-0.0	0
-0.0	0
0.9182958340544896	9
0.9182958340544896	6
-0.0	20
-0.0	10
-0.0	6
-0.0	9
-0.0	1
-0.0	3
1.0	0
1.0	2
1.0	3
1.0	2
1.0	6
1.0	1
2.584962500721156	2
2.584962500721156	1
0.8112781244591328	3
0.8112781244591328	5
-0.0	3
-0.0	2
-0.0	16
-0.0	7
-0.0	1
-0.0	3
-0.0	0
-0.0	2
-0.0	3
-0.0	4
-0.0	1
-0.0	1
1.0	0
1.0	1
2.584962500721156	1
2.584962500721156	2
-0.0	1
-0.0	1
-0.0	6
-0.0	5
2.584962500721156	5
2.584962500721156	1
-0.0	1
-0.0	0
-0.0	5
-0.0	3
-0.0	5
-0.0	9
2.584962500721156	3
2.584962500721156	5
-0.0	1
-0.0	1
-0.0	5
-0.0	11
-0.0	4
-0.0	5
-0.0	8
-0.0	8
-0.0	0
-0.0	4
-0.0	9
-0.0	10
-0.0	4
-0.0	3
1.0	5
1.0	4
-0.0	1
-0.0	5
-0.0	0
-0.0	0
-0.0	1
-0.0	0
-0.0	2
-0.0	1
-0.0	4
-0.0	1
-0.0	2
-0.0	1
-0.0	0
-0.0	0
2.584962500721156	1
2.584962500721156	0
-0.0	5
-0.0	8
-0.0	3
-0.0	3
-0.0	0
-0.0	4
2.584962500721156	3
2.584962500721156	0
2.584962500721156	2
2.584962500721156	4
-0.0	0
-0.0	1
-0.0	0
-0.0	1
0.9182958340544896	1
0.9182958340544896	0
-0.0	1
-0.0	1
-0.0	2
-0.0	3
-0.0	2
-0.0	2
-0.0	12
-0.0	11
2.584962500721156	2
2.584962500721156	2
2.584962500721156	2
2.584962500721156	1
0.8112781244591328	5
0.8112781244591328	6
-0.0	0
-0.0	2
-0.0	7
-0.0	4
-0.0	6
-0.0	4
2.584962500721156	3
2.584962500721156	3
-0.0	0
-0.0	0
2.584962500721156	4
2.584962500721156	2
-0.0	13
-0.0	16
2.584962500721156	2
2.584962500721156	2
2.584962500721156	10
2.584962500721156	11
2.584962500721156	0
2.584962500721156	0
1.5	5
1.5	6
-0.0	1
-0.0	2
2.584962500721156	2
2.584962500721156	3
-0.0	1
-0.0	2
0.9182958340544896	5
0.9182958340544896	5
1.0	7
1.0	5
-0.0	1
-0.0	0
-0.0	4
-0.0	7
2.584962500721156	9
2.584962500721156	7
-0.0	1
-0.0	4
-0.0	2
-0.0	1
0.9182958340544896	4
0.9182958340544896	6
2.584962500721156	1
2.584962500721156	1
2.584962500721156	0
2.584962500721156	0
2.584962500721156	2
2.584962500721156	7
-0.0	0
-0.0	0
-0.0	2
-0.0	0
-0.0	1
-0.0	1
-0.0	2
-0.0	4
2.584962500721156	2
2.584962500721156	2
2.584962500721156	4
2.584962500721156	3
-0.0	2
-0.0	5
-0.0	0
-0.0	1
0.9182958340544896	1
0.9182958340544896	2
1.584962500721156	7
1.584962500721156	7
-0.0	2
